x;y;clip;entropia;nombre;dominado;nrocorrida;ssim;id
2;5;0;7.97694065885707;1000_IM-0003-1001;N;18;0.635914858267615;8335
3;2;0.245309559521559;6.7414874827522;1000_IM-0003-1001;S;18;0.996207370867547;8336
8;2;0.348559441153071;6.74675849396862;1000_IM-0003-1001;S;18;0.993349764630413;8337
2;3;0;7.96902166400668;1000_IM-0003-1001;N;18;0.645809809509489;8338
7;2;1.77756129326339;7.28278690914992;1000_IM-0003-1001;S;18;0.913004906757776;8339
10;2;2.36046169289314;7.3632369541;1000_IM-0003-1001;S;18;0.871170467851558;8340
2;129;1.76910909677076;7.30341598417138;1000_IM-0003-1001;S;18;0.908511136038354;8341
2;11;0;7.98567884008192;1000_IM-0003-1001;N;18;0.588747114486885;8342
2;2;83.8562137283132;7.90943591537923;1000_IM-0003-1001;S;12;0.684564241971412;8343
2;2;5.49038975836697;7.82415473852274;1000_IM-0003-1001;S;12;0.712856786784332;8344
2;2;3.25914353629857;7.73661875696774;1000_IM-0003-1001;N;12;0.785761492362209;8345
2;2;8.49130916347954;7.90358588906082;1000_IM-0003-1001;S;12;0.686859397070526;8346
2;240;3.20758339281979;7.5866363321816;1000_IM-0003-1001;S;12;0.797693014445264;8347
2;256;2.61789140269899;7.45759739553736;1000_IM-0003-1001;S;12;0.84697712996291;8348
2;23;109.225347831385;7.98618219911029;1000_IM-0003-1001;N;12;0.553813181503453;8349
2;4;128;7.97209801905558;1000_IM-0003-1001;N;12;0.64248797143906;8350
15;2;3.36144928333719;7.49350269606656;1000_IM-0003-1001;S;12;0.800687990039408;8351
2;2;4.10873592279077;7.80760231767052;1000_IM-0003-1001;S;12;0.744759618540066;8352
7;256;2.13507770882821;7.1852553209731;1000_IM-0003-1001;S;12;0.880570326122091;8353
2;2;6.92787663839709;7.89043304226635;1000_IM-0003-1001;N;12;0.697106015991756;8354
2;2;6.21831171239538;7.88285231494492;1000_IM-0003-1001;N;12;0.704401428191397;8355
2;129;1.34026186825996;7.1582021519604;1000_IM-0003-1001;S;12;0.940398711601469;8356
6;5;3.19839185809118;7.47064835917543;1000_IM-0003-1001;S;12;0.80559168309227;8357
6;2;1.33474875095986;7.15758950843685;1000_IM-0003-1001;S;12;0.945048288103396;8358
3;256;0.449375623869422;6.94703583171726;1000_IM-0003-1001;S;12;0.971354363263788;8359
2;12;128;7.98592088168809;1000_IM-0003-1001;N;12;0.581581455418554;8360
2;9;0;7.98490246593749;1000_IM-0003-1001;S;12;0.601272001966115;8361
2;2;128;7.90943591537923;1000_IM-0003-1001;S;14;0.684564241971412;8362
2;11;87.6633111384331;7.98567884008192;1000_IM-0003-1001;N;14;0.588747114486885;8363
2;8;128;7.98562392537181;1000_IM-0003-1001;N;14;0.605856204872044;8364
2;12;121.744776663683;7.98592088168809;1000_IM-0003-1001;N;14;0.581581455418554;8365
2;23;59.7982503981086;7.98618219911029;1000_IM-0003-1001;N;14;0.553813181503453;8366
2;2;0.875362317219071;7.08886509644607;1000_IM-0003-1001;N;14;0.971709818135236;8367
2;7;128;7.9828511619824;1000_IM-0003-1001;N;14;0.61236061042438;8368
2;4;128;7.97209801905558;1000_IM-0003-1001;N;14;0.64248797143906;8369
2;6;128;7.98106651170226;1000_IM-0003-1001;N;14;0.619182978244237;8370
2;17;4.80975537793067;7.87956032226151;1000_IM-0003-1001;S;14;0.697526055085547;8371
2;129;0.744979736756441;6.94498731406346;1000_IM-0003-1001;S;14;0.979577673973742;8372
3;2;0;7.93671536544217;1000_IM-0003-1001;S;14;0.650731299590916;8373
2;41;3.99854795857614;7.7627753159466;1000_IM-0003-1001;S;14;0.741765374422987;8374
2;2;0.391146703871263;6.83331592024436;1000_IM-0003-1001;S;14;0.992415399407783;8375
2;2;4.65500875941797;7.84414234818023;1000_IM-0003-1001;N;14;0.728183853312098;8376
2;3;0;7.96902166400668;1000_IM-0003-1001;N;14;0.645809809509489;8377
2;2;0.0795129566545452;6.6782620686183;1000_IM-0003-1001;N;14;0.999122038802269;8378
2;2;2.17375108201267;7.51711263534363;1000_IM-0003-1001;N;14;0.874805088615409;8379
2;2;1.96037319474877;7.48858371263251;1000_IM-0003-1001;N;14;0.893100967106875;8380
12;2;4.00435423509268;7.59197040781604;1000_IM-0003-1001;S;14;0.761335960265103;8381
2;2;8.63691187551773;7.9058767237097;1000_IM-0003-1001;S;14;0.686157559116533;8382
2;2;1.80275176271643;7.42676522035542;1000_IM-0003-1001;S;14;0.906042371031034;8383
2;24;0;7.98624303138085;1000_IM-0003-1001;N;14;0.548656042578864;8384
2;2;1.54909996856217;7.37555330889773;1000_IM-0003-1001;N;14;0.926272484138817;8385
2;2;6.16806546260015;7.87742867625895;1000_IM-0003-1001;N;14;0.704839794915946;8386
2;5;0;7.97694065885707;1000_IM-0003-1001;N;14;0.635914858267615;8387
2;2;87.0147633412766;7.90943591537923;1000_IM-0003-1001;S;11;0.684564241971412;8388
3;2;128;7.93671536544217;1000_IM-0003-1001;S;11;0.650731299590916;8389
2;8;72.2847539789025;7.98562392537181;1000_IM-0003-1001;N;11;0.605856204872044;8390
2;24;128;7.98624303138085;1000_IM-0003-1001;N;11;0.548656042578864;8391
2;12;128;7.98592088168809;1000_IM-0003-1001;N;11;0.581581455418554;8392
2;6;128;7.98106651170226;1000_IM-0003-1001;N;11;0.619182978244237;8393
2;256;0.616151122800034;6.97134302724126;1000_IM-0003-1001;N;11;0.982894051090205;8394
2;4;128;7.97209801905558;1000_IM-0003-1001;N;11;0.64248797143906;8395
2;3;128;7.96902166400668;1000_IM-0003-1001;N;11;0.645809809509489;8396
2;25;128;7.98669420134631;1000_IM-0003-1001;N;11;0.54831245062003;8397
2;2;4.03722364243131;7.80553846984541;1000_IM-0003-1001;S;11;0.747359512271522;8398
157;2;0.0555137179279086;6.77076318731475;1000_IM-0003-1001;S;11;0.989755614756947;8399
2;5;128;7.97694065885707;1000_IM-0003-1001;N;11;0.635914858267615;8400
2;23;128;7.98618219911029;1000_IM-0003-1001;N;11;0.553813181503453;8401
2;11;0;7.98567884008192;1000_IM-0003-1001;N;11;0.588747114486885;8402
